tool,file,layer,expected_finding,detected,n_findings,runtime_s,exit_code,crashed
actionlint,code-scanning/codescan.yml,,,,2,0.0073,1,0
actionlint,code-scanning/contrast-scan.yml,,,,1,0.0080,1,0
actionlint,code-scanning/crda.yml,,,,0,0.0060,0,0
actionlint,code-scanning/credo.yml,,,,1,0.0132,1,0
actionlint,code-scanning/crunch42.yml,,,,1,0.0050,1,0
actionlint,code-scanning/datree.yml,,,,0,0.0169,0,0
actionlint,code-scanning/debricked.yml,,,,0,0.0173,0,0
actionlint,code-scanning/defender-for-devops.yml,,,,1,0.0070,1,0
actionlint,code-scanning/dependency-review.yml,,,,0,0.0084,0,0
actionlint,code-scanning/detekt.yml,,,,1,0.0132,1,0
actionlint,code-scanning/devskim.yml,,,,1,0.0093,1,0
actionlint,code-scanning/endorlabs.yml,,,,1,0.0068,1,0
actionlint,code-scanning/eslint.yml,,,,1,0.0107,1,0
actionlint,code-scanning/ethicalcheck.yml,,,,1,0.0112,1,0
actionlint,code-scanning/flawfinder.yml,,,,1,0.0094,1,0
actionlint,code-scanning/fortify.yml,,,,1,0.0136,1,0
actionlint,code-scanning/frogbot-scan-and-fix.yml,,,,0,0.0091,0,0
actionlint,code-scanning/frogbot-scan-pr.yml,,,,0,0.0146,0,0
actionlint,code-scanning/hadolint.yml,,,,1,0.0123,1,0
actionlint,code-scanning/jfrog-sast.yml,,,,1,0.0087,1,0
actionlint,code-scanning/jscrambler-code-integrity.yml,,,,0,0.0096,0,0
actionlint,code-scanning/kubesec.yml,,,,1,0.0106,1,0
actionlint,code-scanning/lintr.yml,,,,1,0.0139,1,0
actionlint,code-scanning/mayhem-for-api.yml,,,,0,0.0128,0,0
actionlint,code-scanning/mobsf.yml,,,,2,0.0083,1,0
actionlint,code-scanning/msvc.yml,,,,1,0.0112,1,0
actionlint,code-scanning/neuralegion.yml,,,,2,0.0122,1,0
actionlint,code-scanning/njsscan.yml,,,,1,0.0099,1,0
actionlint,code-scanning/ossar.yml,,,,1,0.0111,1,0
actionlint,code-scanning/phpmd.yml,,,,1,0.0114,1,0
actionlint,code-scanning/pmd.yml,,,,1,0.0111,1,0
actionlint,code-scanning/policy-validator-cfn.yaml,,,,0,0.0065,0,0
actionlint,code-scanning/policy-validator-tf.yaml,,,,0,0.0070,0,0
actionlint,code-scanning/powershell.yml,,,,1,0.0122,1,0
actionlint,code-scanning/prisma.yml,,,,1,0.0148,1,0
actionlint,code-scanning/psalm.yml,,,,1,0.0148,1,0
actionlint,code-scanning/puppet-lint.yml,,,,1,0.0132,1,0
actionlint,code-scanning/pyre.yml,,,,0,0.0071,0,0
actionlint,code-scanning/pysa.yml,,,,1,0.0084,1,0
actionlint,code-scanning/rubocop.yml,,,,1,0.0096,1,0
actionlint,code-scanning/rust-clippy.yml,,,,1,0.0115,1,0
actionlint,code-scanning/scorecard.yml,,,,1,0.0115,1,0
actionlint,code-scanning/securitycodescan.yml,,,,1,0.0074,1,0
actionlint,code-scanning/snyk-container.yml,,,,1,0.0111,1,0
actionlint,code-scanning/snyk-infrastructure.yml,,,,1,0.0104,1,0
actionlint,code-scanning/snyk-security.yml,,,,0,0.0116,0,0
actionlint,code-scanning/sobelow.yml,,,,1,0.0186,1,0
actionlint,code-scanning/sonarcloud.yml,,,,0,0.0129,0,0
actionlint,code-scanning/sonarqube.yml,,,,0,0.0115,0,0
actionlint,code-scanning/soos-dast-scan.yml,,,,0,0.0160,0,0
actionlint,code-scanning/stackhawk.yml,,,,1,0.0086,1,0
actionlint,code-scanning/synopsys-action.yml,,,,0,0.0105,0,0
actionlint,code-scanning/sysdig-scan.yml,,,,1,0.0145,1,0
actionlint,code-scanning/tfsec.yml,,,,1,0.0133,1,0
actionlint,code-scanning/trivy.yml,,,,1,0.0115,1,0
actionlint,code-scanning/veracode.yml,,,,1,0.0098,1,0
actionlint,code-scanning/xanitizer.yml,,,,1,0.0130,1,0
actionlint,code-scanning/zscan.yml,,,,0,0.0091,0,0
actionlint,deployments/alibabacloud.yml,,,,0,0.0081,0,0
actionlint,deployments/aws.yml,,,,1,0.0086,1,0
actionlint,deployments/azure-container-webapp.yml,,,,0,0.0122,0,0
actionlint,deployments/azure-functions-app-container.yml,,,,1,0.0112,1,0
actionlint,deployments/azure-functions-app-dotnet.yml,,,,0,0.0060,0,0
actionlint,deployments/azure-functions-app-java-gradle.yml,,,,0,0.0094,0,0
actionlint,deployments/azure-functions-app-java.yml,,,,0,0.0073,0,0
actionlint,deployments/azure-functions-app-nodejs.yml,,,,0,0.0106,0,0
actionlint,deployments/azure-functions-app-powershell.yml,,,,0,0.0073,0,0
actionlint,deployments/azure-functions-app-python.yml,,,,1,0.0152,1,0
actionlint,deployments/azure-kubernetes-service-helm.yml,,,,1,0.0070,1,0
actionlint,deployments/azure-kubernetes-service-kompose.yml,,,,1,0.0088,1,0
actionlint,deployments/azure-kubernetes-service-kustomize.yml,,,,1,0.0101,1,0
actionlint,deployments/azure-kubernetes-service.yml,,,,1,0.0113,1,0
actionlint,deployments/azure-webapps-dotnet-core.yml,,,,1,0.0089,1,0
actionlint,deployments/azure-webapps-java-jar-gradle.yml,,,,0,0.0129,0,0
actionlint,deployments/azure-webapps-java-jar.yml,,,,0,0.0120,0,0
actionlint,deployments/azure-webapps-node.yml,,,,0,0.0097,0,0
actionlint,deployments/azure-webapps-php.yml,,,,1,0.0081,1,0
actionlint,deployments/azure-webapps-python.yml,,,,0,0.0058,0,0
actionlint,deployments/google-cloudrun-docker.yml,,,,1,0.0097,1,0
actionlint,deployments/google-cloudrun-source.yml,,,,1,0.0116,1,0
actionlint,deployments/google.yml,,,,0,0.0104,0,0
actionlint,deployments/ibm.yml,,,,0,0.0115,0,0
actionlint,deployments/octopusdeploy.yml,,,,0,0.0058,0,0
actionlint,deployments/openshift.yml,,,,1,0.0116,1,0
actionlint,deployments/tencent.yml,,,,0,0.0118,0,0
actionlint,deployments/terraform.yml,,,,0,0.0148,0,0
