tool,file,layer,expected_finding,detected,n_findings,runtime_s,exit_code,crashed
validate-actions,yt-dlp_yt-dlp_quick-test__syntax.yml,syntax,syntax,1,2,0.0035,1,0
actionlint,B_iterative_cml-playground_checks-pr__execution.yml,execution,nonexistent-seed-job,1,1,0.0039,1,0
actionlint,B_iterative_cml-playground_checks-pr__schema.yml,schema,shell,1,1,0.0039,1,0
actionlint,B_iterative_cml-playground_checks-pr__syntax.yml,syntax,syntax,1,1,0.0030,1,0
actionlint,B_iterative_cml-playground_checks-publish__execution.yml,execution,nonexistent-seed-job,1,1,0.0161,1,0
actionlint,B_iterative_cml-playground_checks-publish__schema.yml,schema,shell,1,1,0.0145,1,0
actionlint,B_iterative_cml-playground_checks-publish__syntax.yml,syntax,syntax,1,1,0.0094,1,0
actionlint,C_evidentlyai_evidently-ci-example_local__registry.yml,registry,unknown_input,1,1,0.0084,1,0
actionlint,C_evidentlyai_evidently-ci-example_local__syntax.yml,syntax,syntax,1,1,0.0073,1,0
actionlint,TheAlgorithms_Python_devcontainer_ci__execution.yml,execution,nonexistent-seed-job,1,1,0.0094,1,0
actionlint,TheAlgorithms_Python_devcontainer_ci__registry.yml,registry,unknown_input,0,0,0.0077,0,0
actionlint,TheAlgorithms_Python_devcontainer_ci__schema.yml,schema,shell,1,1,0.0119,1,0
actionlint,TheAlgorithms_Python_devcontainer_ci__syntax.yml,syntax,syntax,1,1,0.0074,1,0
actionlint,TheAlgorithms_Python_sphinx__execution.yml,execution,nonexistent-seed-job,1,1,0.0093,1,0
actionlint,TheAlgorithms_Python_sphinx__registry.yml,registry,unknown_input,1,1,0.0093,1,0
actionlint,TheAlgorithms_Python_sphinx__schema.yml,schema,shell,1,1,0.0107,1,0
actionlint,TheAlgorithms_Python_sphinx__syntax.yml,syntax,syntax,1,1,0.0078,1,0
actionlint,angular_angular_adev-preview-deploy__execution.yml,execution,nonexistent-seed-job,1,1,0.0141,1,0
actionlint,angular_angular_adev-preview-deploy__registry.yml,registry,unknown_input,0,0,0.0119,0,0
actionlint,angular_angular_adev-preview-deploy__schema.yml,schema,shell,1,1,0.0103,1,0
actionlint,angular_angular_adev-preview-deploy__syntax.yml,syntax,syntax,1,1,0.0063,1,0
actionlint,ant-design_ant-design_visual-regression-persist-finish__registry.yml,registry,unknown_input,0,1,0.0049,1,0
actionlint,ant-design_ant-design_visual-regression-persist-finish__syntax.yml,syntax,syntax,1,1,0.0044,1,0
actionlint,axios_axios_ci__execution.yml,execution,nonexistent-seed-job,1,1,0.0142,1,0
actionlint,axios_axios_ci__registry.yml,registry,unknown_input,1,1,0.0126,1,0
actionlint,axios_axios_ci__schema.yml,schema,shell,1,1,0.0065,1,0
actionlint,axios_axios_ci__syntax.yml,syntax,syntax,1,1,0.0047,1,0
actionlint,d3_d3_deploy__execution.yml,execution,nonexistent-seed-job,1,1,0.0126,1,0
actionlint,d3_d3_deploy__registry.yml,registry,unknown_input,1,1,0.0120,1,0
actionlint,d3_d3_deploy__schema.yml,schema,shell,1,1,0.0095,1,0
actionlint,d3_d3_deploy__syntax.yml,syntax,syntax,1,1,0.0067,1,0
actionlint,electron_electron_scorecards__registry.yml,registry,unknown_input,0,0,0.0110,0,0
actionlint,electron_electron_scorecards__syntax.yml,syntax,syntax,1,1,0.0066,1,0
